anglvel_x,anglvel_y,anglvel_z,accel_x,accel_y,accel_z
14, 4, -2, 418, -766, 16808
11, 6, 5, 400, -741, 16835
6, 4, -1, 392, -732, 16846
8, 2, 0, 386, -735, 16847
13, 10, 4, 397, -748, 16824
11, 7, 2, 408, -772, 16799
9, 9, 1, 407, -780, 16767
7, 5, -3, 401, -780, 16741
6, 5, 0, 392, -766, 16746
6, 9, 0, 369, -758, 16748
9, 7, -3, 360, -747, 16769
12, 5, 2, 368, -737, 16767
10, 6, 2, 386, -718, 16771
11, 2, 3, 414, -705, 16765
12, 4, 1, 423, -695, 16772
9, 6, 4, 424, -699, 16776
14, 7, 2, 398, -715, 16779
9, 4, 5, 373, -720, 16788
7, 8, 5, 359, -735, 16786
14, 4, 1, 348, -740, 16799
8, 4, -2, 352, -743, 16801
6, 6, -2, 348, -748, 16794
9, 6, 4, 352, -750, 16779
10, 7, 2, 354, -764, 16759
9, 6, 3, 380, -762, 16765
7, 5, 3, 410, -789, 16772
8, 9, 1, 429, -786, 16807
9, 6, 3, 432, -803, 16815
12, 7, 4, 419, -803, 16831
12, 6, 1, 384, -800, 16811
10, 6, 1, 364, -792, 16807
8, 4, 0, 341, -776, 16819
6, 4, -1, 329, -769, 16816
6, 7, 0, 324, -757, 16842
11, 4, 2, 330, -747, 16852
12, 4, 0, 337, -730, 16834
8, 12, 4, 352, -711, 16814
10, 11, 0, 371, -700, 16779
7, 7, 0, 368, -692, 16757
7, 5, 1, 373, -693, 16755
10, 5, 1, 343, -701, 16768
10, -1, -6, 354, -698, 16781
8, 5, -1, 341, -704, 16788
8, 7, 2, 379, -701, 16790
14, 3, 0, 387, -700, 16785
11, 6, 0, 391, -688, 16790
10, 9, 3, 380, -677, 16777
8, 4, 4, 361, -665, 16763
7, 3, -2, 346, -670, 16745
9, 10, -2, 326, -685, 16724
9, 7, 4, 312, -703, 16737
9, 9, 2, 295, -727, 16749
11, 9, 4, 294, -727, 16795
8, 8, 3, 294, -738, 16818
7, 5, 3, 311, -733, 16845
9, 6, -4, 321, -740, 16843
9, 5, -4, 323, -733, 16858
10, 9, 1, 329, -723, 16831
13, 8, 4, 318, -706, 16824
12, 10, 2, 327, -698, 16771
7, 9, -5, 323, -679, 16750
7, 6, -4, 330, -695, 16724
6, 7, 5, 334, -690, 16726
5, 8, -2, 342, -714, 16729
9, 4, -2, 362, -712, 16738
13, 5, 3, 386, -716, 16736
8, 5, 2, 435, -702, 16735
8, 13, 6, 466, -690, 16736
9, 5, 2, 499, -684, 16737
10, 5, 1, 493, -685, 16736
6, 4, 0, 470, -688, 16747
8, 12, -1, 425, -686, 16761
9, 7, 6, 400, -687, 16775
11, 4, 0, 377, -683, 16810
10, 8, 0, 367, -684, 16828
8, 9, -2, 356, -691, 16836
9, 5, 3, 359, -697, 16822
10, 6, 0, 346, -703, 16810
8, 6, 1, 372, -708, 16785
8, 5, -1, 378, -710, 16790
7, 6, -1, 404, -701, 16782
10, 4, -1, 409, -686, 16780
11, 3, 2, 402, -655, 16774
12, 3, 5, 396, -641, 16787
7, 7, 2, 385, -632, 16788
7, 10, 0, 397, -644, 16792
11, 8, -2, 412, -648, 16780
13, 8, 2, 420, -652, 16745
13, 7, 5, 421, -653, 16727
8, 6, 3, 417, -658, 16706
4, 3, 3, 417, -678, 16714
5, 7, 3, 444, -680, 16725
7, 5, 2, 436, -683, 16749
9, 4, 1, 442, -668, 16769
10, 5, 3, 413, -647, 16774
11, 4, -5, 393, -653, 16774
15, 7, 1, 386, -648, 16764
8, 10, 3, 378, -675, 16762
5, 7, 3, 383, -699, 16753
13, 6, 2, 389, -739, 16748
11, 5, -1, 393, -747, 16735
10, 5, 0, 401, -758, 16736
8, 10, -2, 405, -726, 16736
6, 5, -6, 415, -696, 16750
10, 4, 3, 411, -671, 16755
13, 3, 3, 421, -659, 16744
6, 8, -2, 415, -667, 16751
9, 13, -2, 415, -687, 16727
13, 4, -3, 421, -694, 16732
7, 5, -2, 424, -705, 16745
11, 5, 1, 433, -699, 16756
11, 3, -2, 438, -699, 16771
7, 8, 0, 451, -688, 16781
11, 5, 5, 458, -689, 16764
12, 3, 2, 484, -697, 16764
9, 6, 1, 489, -710, 16776
12, 6, -6, 485, -725, 16788
14, 8, -2, 470, -739, 16823
12, 2, -1, 424, -746, 16831
7, 4, 7, 402, -731, 16834
8, 7, 1, 366, -735, 16827
9, 6, 2, 372, -711, 16834
9, 8, 2, 393, -704, 16808
7, 10, 1, 422, -694, 16834
10, 9, 1, 435, -678, 16804
12, 6, 0, 439, -670, 16801
10, 3, -1, 418, -680, 16783
8, 5, 5, 397, -673, 16763
11, 2, 3, 369, -689, 16742
11, 6, -1, 361, -697, 16750
14, 10, -3, 344, -708, 16757
8, 5, 2, 349, -728, 16784
6, 3, 1, 352, -735, 16796
8, 7, -2, 348, -747, 16799
7, 8, 0, 351, -737, 16770
8, 9, 7, 351, -737, 16759
10, 8, -1, 372, -749, 16746
9, 8, 3, 391, -741, 16750
9, 6, 6, 423, -752, 16769
6, 6, 1, 438, -753, 16779
4, 6, -3, 454, -760, 16783
4, 7, -6, 465, -775, 16780
10, 12, 4, 461, -788, 16769
10, 9, 4, 447, -790, 16770
11, 4, 2, 410, -785, 16754
11, 6, 7, 377, -778, 16786
6, 9, -2, 344, -753, 16789
10, 6, 0, 341, -735, 16806
6, 3, -2, 338, -711, 16814
4, 8, -4, 359, -702, 16809
9, 7, -1, 376, -704, 16814
8, 6, 1, 399, -716, 16821
11, 6, 6, 422, -728, 16805
11, 13, 4, 446, -726, 16793
8, 10, 1, 449, -738, 16767
11, 3, 1, 419, -731, 16754
16, 6, 5, 381, -733, 16759
12, 7, 9, 319, -720, 16760
8, 10, 3, 294, -713, 16777
9, 10, 2, 279, -686, 16765
10, 8, 0, 303, -675, 16763
